feature,weight,Mapped_Feature
-0.09 < Ch17_t704-719 <= 0.57,0.0169270459756602,-0.09 < Ch17_t704-719 <= 0.57 (O1 - Occipital)
Ch18_t2000-2015 > 0.55,0.016832585198434,Ch18_t2000-2015 > 0.55 (Oz - Occipital)
Ch3_t368-383 > 0.51,-0.0165053262090389,Ch3_t368-383 > 0.51 (F3 - Frontal)
Ch7_t368-383 > 0.83,-0.0162226580956287,Ch7_t368-383 > 0.83 (T3 - Temporal)
-0.38 < Ch16_t1680-1695 <= -0.01,0.01603272726314,-0.38 < Ch16_t1680-1695 <= -0.01 (T6 - Temporal/Parietal)
Ch3_t1168-1183 > 0.46,-0.0157032196519508,Ch3_t1168-1183 > 0.46 (F3 - Frontal)
Ch3_t560-575 > 0.38,-0.0150157311217345,Ch3_t560-575 > 0.38 (F3 - Frontal)
Ch8_t1760-1775 > 0.59,0.0149924137753771,Ch8_t1760-1775 > 0.59 (C3 - Central)
0.08 < Ch1_t2224-2239 <= 0.61,0.0142659913056002,0.08 < Ch1_t2224-2239 <= 0.61 (Fp2 - Frontal Polar)
Ch3_t1200-1215 <= -0.36,0.014072028464733,Ch3_t1200-1215 <= -0.36 (F3 - Frontal)
Ch10_t2208-2223 > 0.73,0.0133432001351091,Ch10_t2208-2223 > 0.73 (C4 - Central)
Ch7_t1488-1503 <= -0.44,0.0121942426568632,Ch7_t1488-1503 <= -0.44 (T3 - Temporal)
Ch13_t720-735 <= -0.60,-0.0121797100946064,Ch13_t720-735 <= -0.60 (P3 - Parietal)
0.03 < Ch0_t2384-2399 <= 0.41,-0.0069256903552443,0.03 < Ch0_t2384-2399 <= 0.41 (Fp1 - Frontal Polar)
Ch9_t272-287 <= -0.33,-0.0065875861674803,Ch9_t272-287 <= -0.33 (Cz - Central)
-0.07 < Ch18_t640-655 <= 0.62,0.0062373312957626,-0.07 < Ch18_t640-655 <= 0.62 (Oz - Occipital)
0.05 < Ch7_t1792-1807 <= 0.43,0.0054955762047782,0.05 < Ch7_t1792-1807 <= 0.43 (T3 - Temporal)
Ch2_t2320-2335 <= -0.64,0.0051984971978721,Ch2_t2320-2335 <= -0.64 (F7 - Frontal)
Ch15_t432-447 > 0.37,0.0047041905548729,Ch15_t432-447 > 0.37 (P4 - Parietal)
Ch20_t624-639 <= -0.27,0.0002739210417233,Ch20_t624-639 <= -0.27 (Fpz - Frontal Polar)
