feature,channel,time_start,time_end,importance,value,Electrode,Brain_Region
Ch1_t128-256,1,128,256,1.413280908377908e-06,0.5596863855693499,Fp2,"Frontal Polar - Prefrontal Cortex, Right"
Ch0_t1792-1920,0,1792,1920,1.3157175051591092e-06,-0.0365763119575789,Fp1,"Frontal Polar - Prefrontal Cortex, Left"
Ch1_t256-384,1,256,384,1.2942365296396705e-06,-0.2148491999671843,Fp2,"Frontal Polar - Prefrontal Cortex, Right"
Ch1_t2432-2560,1,2432,2560,1.293257640824761e-06,-1.8690659994103824,Fp2,"Frontal Polar - Prefrontal Cortex, Right"
Ch1_t2304-2432,1,2304,2432,1.2836142208543433e-06,-1.062415145982036,Fp2,"Frontal Polar - Prefrontal Cortex, Right"
Ch2_t256-384,2,256,384,1.2435058267202673e-06,0.535193928249529,F7,"Frontal - Inferior Frontal Gyrus, Left"
Ch3_t2176-2304,3,2176,2304,1.208324761726814e-06,-0.7879587790592022,F3,"Frontal - Dorsolateral Prefrontal Cortex, Left"
Ch0_t256-384,0,256,384,1.1821362042595285e-06,-0.2627674177263627,Fp1,"Frontal Polar - Prefrontal Cortex, Left"
Ch3_t1792-1920,3,1792,1920,1.1622801272344567e-06,0.937805502788238,F3,"Frontal - Dorsolateral Prefrontal Cortex, Left"
Ch5_t2432-2560,5,2432,2560,1.1391201509108891e-06,-0.7627615762403919,F4,"Frontal - Dorsolateral Prefrontal Cortex, Right"
Ch5_t1152-1280,5,1152,1280,1.1346604053450856e-06,0.8585973279397452,F4,"Frontal - Dorsolateral Prefrontal Cortex, Right"
Ch0_t2432-2560,0,2432,2560,1.1291273269475907e-06,-0.7163434048313403,Fp1,"Frontal Polar - Prefrontal Cortex, Left"
Ch5_t1024-1152,5,1024,1152,1.1175629568521198e-06,-0.1524160817652693,F4,"Frontal - Dorsolateral Prefrontal Cortex, Right"
Ch7_t0-128,7,0,128,1.1109395972035037e-06,-1.2941274704413268,T3,"Temporal - Mid-Temporal, Left, Auditory Cortex"
Ch1_t1024-1152,1,1024,1152,1.0984143840396482e-06,0.3237142807803108,Fp2,"Frontal Polar - Prefrontal Cortex, Right"
Ch2_t2432-2560,2,2432,2560,1.0901520478608942e-06,-0.1378198691145307,F7,"Frontal - Inferior Frontal Gyrus, Left"
Ch4_t1536-1664,4,1536,1664,1.089684135919258e-06,-0.3382362854953853,Fz,"Frontal - Medial Frontal Cortex, Midline"
Ch4_t1664-1792,4,1664,1792,1.0733840471616715e-06,1.4422167637039445,Fz,"Frontal - Medial Frontal Cortex, Midline"
Ch0_t1024-1152,0,1024,1152,1.0714715698726376e-06,0.5806775019962356,Fp1,"Frontal Polar - Prefrontal Cortex, Left"
Ch7_t2048-2176,7,2048,2176,1.066744929786753e-06,0.3627706100066765,T3,"Temporal - Mid-Temporal, Left, Auditory Cortex"
