channel,importance
1,8.877374909491449e-07
0,8.769325405810456e-07
3,7.924038569072179e-07
5,7.017971614807799e-07
2,6.932542900819229e-07
4,6.86096398041573e-07
7,6.688545862630741e-07
6,6.593869829006306e-07
9,6.396943369077893e-07
8,6.294196403602812e-07
11,5.882321698216779e-07
10,5.460055826473338e-07
13,5.412436142916959e-07
12,5.316439050670625e-07
15,5.268671201301188e-07
14,4.886356129064059e-07
16,4.848220827527735e-07
17,4.7112167380234384e-07
18,4.0840486903495007e-07
19,3.7715576297955205e-07
20,2.8933749656925706e-07
