Time_Point,Importance
0,1.7705312e-07
1,1.2585548e-07
2,1.4819335e-07
3,2.3137576e-07
4,2.5893436e-07
5,2.2159763e-07
6,1.8551336e-07
7,2.428451e-07
8,2.740608e-07
9,2.5761716e-07
10,2.421992e-07
11,2.6160154e-07
12,3.1108883e-07
13,2.4910682e-07
14,3.6180472e-07
15,3.2714925e-07
16,3.3687272e-07
17,3.2558395e-07
18,4.5588035e-07
19,5.1444704e-07
20,5.267327e-07
21,7.45125e-07
22,9.1222785e-07
23,7.0030814e-07
24,4.6404017e-07
25,6.4352446e-07
26,4.492606e-07
27,4.239667e-07
28,5.42455e-07
29,4.7118579e-07
30,5.0571305e-07
31,5.1091905e-07
32,3.766717e-07
33,3.4648204e-07
34,4.926975e-07
35,7.57001e-07
36,5.562017e-07
37,5.941061e-07
38,7.4533466e-07
39,6.6586495e-07
40,9.827833e-07
41,5.669373e-07
42,7.6593534e-07
43,8.2333435e-07
44,8.485911e-07
45,8.7722674e-07
46,7.67826e-07
47,7.706067e-07
48,9.959406e-07
49,6.0739524e-07
50,7.9045094e-07
51,8.66282e-07
52,6.1733823e-07
53,8.387125e-07
54,6.2299125e-07
55,7.6688787e-07
56,7.977775e-07
57,6.024349e-07
58,4.994447e-07
59,5.359706e-07
60,6.9208244e-07
61,7.579609e-07
62,6.392646e-07
63,8.662534e-07
64,7.7624e-07
65,8.5367174e-07
66,6.4374035e-07
67,1.1092376e-06
68,1.6088455e-06
69,1.1532443e-06
70,6.6445455e-07
71,1.0159413e-06
72,1.3007206e-06
73,8.273454e-07
74,7.2037926e-07
75,6.47508e-07
76,6.141519e-07
77,6.532489e-07
78,5.1893755e-07
79,6.382046e-07
80,6.3072355e-07
81,6.5044844e-07
82,4.941469e-07
83,7.406732e-07
84,1.0477045e-06
85,7.083101e-07
86,5.1542156e-07
87,7.798425e-07
88,8.640583e-07
89,1.0028868e-06
90,8.5387774e-07
91,7.0232846e-07
92,5.559322e-07
93,6.352424e-07
94,5.8743007e-07
95,7.319016e-07
96,7.741689e-07
97,5.991524e-07
98,5.3050724e-07
99,6.246638e-07
100,6.910661e-07
101,5.9725414e-07
102,4.915207e-07
103,5.7565495e-07
104,6.4396386e-07
105,6.352813e-07
106,8.005457e-07
107,9.196168e-07
108,1.0261554e-06
109,1.2013558e-06
110,7.6843514e-07
111,5.859676e-07
112,9.400661e-07
113,9.413873e-07
114,1.0275277e-06
115,6.803028e-07
116,8.262238e-07
117,6.336867e-07
118,6.831286e-07
119,1.0415124e-06
120,6.2249165e-07
121,6.55038e-07
122,8.036244e-07
123,5.894124e-07
124,8.760121e-07
125,7.4029805e-07
126,5.724606e-07
127,8.1374793e-07
128,6.341182e-07
129,7.8597185e-07
130,6.431267e-07
131,7.4835816e-07
132,8.7710094e-07
133,5.6140306e-07
134,5.11816e-07
135,5.305288e-07
136,7.9067104e-07
137,7.4240677e-07
138,6.909352e-07
139,6.155375e-07
140,9.104175e-07
141,5.715977e-07
142,6.532031e-07
143,9.130187e-07
144,1.0112095e-06
145,1.010107e-06
146,7.4499593e-07
147,7.9643723e-07
148,8.5374785e-07
149,9.743628e-07
150,6.405824e-07
151,8.866606e-07
152,1.3193804e-06
153,1.0224617e-06
154,1.1493515e-06
155,8.144307e-07
156,7.7321755e-07
157,7.742007e-07
158,5.940653e-07
159,7.3122794e-07
160,6.0034483e-07
161,6.8479e-07
162,5.0152914e-07
163,6.997246e-07
164,6.1039873e-07
165,5.322502e-07
166,5.504762e-07
167,5.484844e-07
168,4.9801423e-07
169,4.5314468e-07
170,3.3178134e-07
171,4.3385543e-07
172,3.665212e-07
173,3.669907e-07
174,3.5395473e-07
175,4.6346878e-07
176,4.4151835e-07
177,4.1939057e-07
178,3.0455055e-07
179,4.530948e-07
180,5.3337e-07
181,4.5955517e-07
182,3.7963125e-07
183,3.7252735e-07
184,4.0678802e-07
185,5.2976606e-07
186,3.8956196e-07
187,4.6563923e-07
188,4.9223775e-07
189,4.7119744e-07
190,4.8279765e-07
191,5.194825e-07
192,7.3351475e-07
193,4.8974465e-07
194,3.9086746e-07
195,4.1726284e-07
196,3.42881e-07
197,3.6154992e-07
198,3.5293817e-07
199,5.213744e-07
200,3.2585973e-07
201,3.5059992e-07
202,4.2647008e-07
203,4.7380323e-07
204,4.7839114e-07
205,4.2082212e-07
206,6.174554e-07
207,5.433323e-07
208,6.145024e-07
209,4.5056572e-07
210,4.6026474e-07
211,7.302555e-07
212,7.3047124e-07
213,4.936502e-07
214,6.724423e-07
215,6.2114276e-07
216,7.7430343e-07
217,8.3622274e-07
218,6.576888e-07
219,6.794992e-07
220,7.028818e-07
221,7.616442e-07
222,5.126562e-07
223,4.773139e-07
224,5.3873896e-07
225,5.590949e-07
226,5.8444596e-07
227,7.0841077e-07
228,7.624473e-07
229,5.737736e-07
230,4.4293606e-07
231,5.565982e-07
232,6.637844e-07
233,8.2450015e-07
234,4.8614464e-07
235,6.026124e-07
236,7.0975915e-07
237,5.6900757e-07
238,4.785548e-07
239,7.2126306e-07
240,7.7936954e-07
241,5.393657e-07
242,6.3210194e-07
243,6.014692e-07
244,7.864769e-07
245,9.034513e-07
246,4.9636e-07
247,6.2770425e-07
248,6.1515584e-07
249,5.82154e-07
250,5.465263e-07
251,7.6272306e-07
252,9.0042215e-07
253,6.077538e-07
254,8.141187e-07
255,9.796768e-07
256,8.9272316e-07
257,9.030276e-07
258,5.887743e-07
259,7.259147e-07
260,8.3491693e-07
261,7.213612e-07
262,8.137831e-07
263,7.624015e-07
264,7.124966e-07
265,6.6773845e-07
266,9.044632e-07
267,1.2504076e-06
268,1.1113858e-06
269,1.0016713e-06
270,1.0821369e-06
271,8.501059e-07
272,9.87294e-07
273,8.326948e-07
274,7.0695705e-07
275,7.4485587e-07
276,6.89673e-07
277,8.215076e-07
278,7.909829e-07
279,8.545418e-07
280,1.0483136e-06
281,1.1086024e-06
282,8.612304e-07
283,8.095011e-07
284,1.0251367e-06
285,1.1379308e-06
286,8.7642593e-07
287,7.4085455e-07
288,7.682139e-07
289,7.445036e-07
290,6.5455134e-07
291,6.4659923e-07
292,7.431031e-07
293,6.103799e-07
294,7.628306e-07
295,9.129579e-07
296,1.1669731e-06
297,9.1449584e-07
298,8.085238e-07
299,7.104107e-07
300,8.595409e-07
301,6.0462133e-07
302,5.336546e-07
303,8.555313e-07
304,9.350858e-07
305,7.8002824e-07
306,8.384707e-07
307,6.8135625e-07
308,6.619788e-07
309,8.120307e-07
310,4.9439416e-07
311,7.0880833e-07
312,6.555823e-07
313,8.039083e-07
314,6.263964e-07
315,7.7806743e-07
316,8.84684e-07
317,7.004996e-07
318,6.844608e-07
319,6.898862e-07
320,7.316206e-07
321,5.0687726e-07
322,5.4679106e-07
323,1.166035e-06
324,9.710532e-07
325,7.4256167e-07
326,1.077663e-06
327,1.0814689e-06
328,8.0818535e-07
329,1.1559339e-06
330,5.3388885e-07
331,8.000705e-07
332,1.1922048e-06
333,6.9207243e-07
334,5.88712e-07
335,9.131436e-07
336,7.9689073e-07
337,6.539685e-07
338,7.672763e-07
339,5.8088847e-07
340,8.9935446e-07
341,6.060512e-07
342,6.364995e-07
343,6.044053e-07
344,7.7631984e-07
345,8.277949e-07
346,8.1807065e-07
347,7.600272e-07
348,7.1748707e-07
349,6.9037844e-07
350,6.848271e-07
351,7.505647e-07
352,6.309616e-07
353,6.049928e-07
354,5.0406544e-07
355,5.733142e-07
356,5.6670984e-07
357,4.5816014e-07
358,6.3545724e-07
359,6.805793e-07
360,6.1408457e-07
361,6.089898e-07
362,5.9102763e-07
363,5.4468336e-07
364,5.99009e-07
365,4.9560595e-07
366,3.9096912e-07
367,5.944492e-07
368,5.7493673e-07
369,6.5828107e-07
370,7.334928e-07
371,9.016655e-07
372,9.137336e-07
373,8.688297e-07
374,5.791976e-07
375,7.3743576e-07
376,5.907717e-07
377,5.602534e-07
378,5.8325156e-07
379,5.895032e-07
380,5.9522426e-07
381,6.222296e-07
382,5.207304e-07
383,5.204861e-07
384,7.5196556e-07
385,4.4564905e-07
386,6.13148e-07
387,5.259034e-07
388,5.927328e-07
389,6.736059e-07
390,6.184027e-07
391,4.6426166e-07
392,6.6430096e-07
393,6.238104e-07
394,6.500092e-07
395,6.395836e-07
396,5.884732e-07
397,6.3278856e-07
398,6.8297834e-07
399,6.049522e-07
400,7.4863635e-07
401,5.150808e-07
402,6.490572e-07
403,6.0301164e-07
404,7.693976e-07
405,6.563789e-07
406,5.920948e-07
407,5.275686e-07
408,8.1943864e-07
409,6.2445145e-07
410,4.9521316e-07
411,6.8488833e-07
412,5.329126e-07
413,6.073734e-07
414,4.321565e-07
415,5.317875e-07
416,6.285716e-07
417,6.074628e-07
418,8.065737e-07
419,5.4640543e-07
420,5.5945054e-07
421,6.174546e-07
422,6.942108e-07
423,4.1325475e-07
424,5.823789e-07
425,4.935132e-07
426,8.3196375e-07
427,6.6907603e-07
428,5.6612964e-07
429,5.552805e-07
430,5.164111e-07
431,5.710948e-07
432,7.553768e-07
433,7.472157e-07
434,8.260191e-07
435,9.4145025e-07
436,1.0782577e-06
437,7.248441e-07
438,6.428718e-07
439,6.7025934e-07
440,8.6256404e-07
441,7.1734195e-07
442,6.5057185e-07
443,5.7076534e-07
444,8.6181217e-07
445,6.289328e-07
446,6.405161e-07
447,8.2735335e-07
448,6.411934e-07
449,5.944099e-07
450,5.574799e-07
451,6.991565e-07
452,9.957542e-07
453,5.5397766e-07
454,7.767088e-07
455,8.201353e-07
456,8.8357956e-07
457,7.433685e-07
458,8.680895e-07
459,8.480314e-07
460,5.566427e-07
461,8.155521e-07
462,6.708359e-07
463,9.356443e-07
464,1.4085239e-06
465,8.9888454e-07
466,8.1979954e-07
467,9.872767e-07
468,7.3557476e-07
469,9.742228e-07
470,8.577379e-07
471,8.3414824e-07
472,8.353225e-07
473,8.7280887e-07
474,7.9288986e-07
475,1.2056692e-06
476,1.2492155e-06
477,1.2539747e-06
478,1.1842342e-06
479,1.3826362e-06
480,1.2014686e-06
481,9.38461e-07
482,1.0116222e-06
483,1.1855552e-06
484,1.0334109e-06
485,1.1991099e-06
486,8.6062425e-07
487,8.092385e-07
488,8.63676e-07
489,9.459736e-07
490,6.106093e-07
491,8.960559e-07
492,6.873379e-07
493,7.746729e-07
494,8.5590136e-07
495,8.567693e-07
496,7.9935415e-07
497,8.7105855e-07
498,4.792204e-07
499,7.9561715e-07
500,9.449415e-07
501,7.524913e-07
502,8.0957926e-07
503,6.270085e-07
504,8.268692e-07
505,8.8584255e-07
506,4.7800046e-07
507,5.567014e-07
508,5.5611065e-07
509,5.305626e-07
510,5.3034177e-07
511,6.6077547e-07
512,5.266738e-07
513,5.930944e-07
514,4.8974135e-07
515,7.9630706e-07
516,7.8003103e-07
517,6.6899867e-07
518,6.2228355e-07
519,6.1135296e-07
520,4.051485e-07
